term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
kitchenette,NOUN,sofa,NOUN,15,,,kitchenette sofa,,,,,no,,,,
summer,NOUN,holiday,NOUN,15,,,summer holiday,,,,,no,,,,
soggiorno,NOUN,con,NOUN,14,,,soggiorno con,,,,,no,,,,
area,NOUN,minute,NOUN,14,,,area minute,,,,,no,,,,
garden,NOUN,area,NOUN,14,,,garden area,,,,,no,,,,
ground,NOUN,level,NOUN,14,,,ground level,,,,,no,,,,
delle,NOUN,stelle,NOUN,14,,,delle stelle,,,,,no,,,,
veranda,NOUN,table,NOUN,14,,,veranda table,,,,,no,,,,
shopping,NOUN,street,NOUN,14,,,shopping street,,,,,no,,,,
toilet,NOUN,shower,NOUN,14,,,toilet shower,,,,,no,,,,
room,NOUN,terrace,NOUN,14,,,room terrace,,,,,no,,,,
spacebility,NOUN,city,NOUN,14,,,spacebility city,,,,,no,,,,
beach,NOUN,porto,PROPN,14,,,beach porto,,,,,no,,,,
shopping,NOUN,center,NOUN,14,,,shopping center,,,,,no,,,,
pool,NOUN,garden,NOUN,14,,,pool garden,,,,,no,,,,
